entity,code,year,count,cause
Brazil,BRA,2001,280000,commercial_crops
Brazil,BRA,2001,0,flooding_due_to_dams
Brazil,BRA,2001,0,natural_disturbances
Brazil,BRA,2001,1520000,pasture
Brazil,BRA,2001,96000,selective_logging
Brazil,BRA,2001,26000,fire
Brazil,BRA,2001,9000,mining
Brazil,BRA,2001,9000,other_infrastructure
Brazil,BRA,2001,13000,roads
Brazil,BRA,2001,44000,tree_plantations_including_palm
Brazil,BRA,2001,249000,small_scale_clearing
Brazil,BRA,2002,415000,commercial_crops
Brazil,BRA,2002,79000,flooding_due_to_dams
Brazil,BRA,2002,35000,natural_disturbances
Brazil,BRA,2002,2568000,pasture
Brazil,BRA,2002,96000,selective_logging
Brazil,BRA,2002,114000,fire
Brazil,BRA,2002,9000,mining
Brazil,BRA,2002,13000,other_infrastructure
Brazil,BRA,2002,31000,roads
Brazil,BRA,2002,44000,tree_plantations_including_palm
Brazil,BRA,2002,293000,small_scale_clearing
Brazil,BRA,2003,550000,commercial_crops
Brazil,BRA,2003,0,flooding_due_to_dams
Brazil,BRA,2003,35000,natural_disturbances
Brazil,BRA,2003,2761000,pasture
Brazil,BRA,2003,149000,selective_logging
Brazil,BRA,2003,44000,fire
Brazil,BRA,2003,0,mining
Brazil,BRA,2003,9000,other_infrastructure
Brazil,BRA,2003,35000,roads
Brazil,BRA,2003,26000,tree_plantations_including_palm
Brazil,BRA,2003,358000,small_scale_clearing
Brazil,BRA,2004,747000,commercial_crops
Brazil,BRA,2004,26000,flooding_due_to_dams
Brazil,BRA,2004,22000,natural_disturbances
Brazil,BRA,2004,2564000,pasture
Brazil,BRA,2004,131000,selective_logging
Brazil,BRA,2004,79000,fire
Brazil,BRA,2004,0,mining
Brazil,BRA,2004,13000,other_infrastructure
Brazil,BRA,2004,57000,roads
Brazil,BRA,2004,92000,tree_plantations_including_palm
Brazil,BRA,2004,415000,small_scale_clearing
Brazil,BRA,2005,328000,commercial_crops
Brazil,BRA,2005,17000,flooding_due_to_dams
Brazil,BRA,2005,26000,natural_disturbances
Brazil,BRA,2005,2665000,pasture
Brazil,BRA,2005,140000,selective_logging
Brazil,BRA,2005,393000,fire
Brazil,BRA,2005,0,mining
Brazil,BRA,2005,13000,other_infrastructure
Brazil,BRA,2005,35000,roads
Brazil,BRA,2005,52000,tree_plantations_including_palm
Brazil,BRA,2005,288000,small_scale_clearing
Brazil,BRA,2006,188000,commercial_crops
Brazil,BRA,2006,17000,flooding_due_to_dams
Brazil,BRA,2006,26000,natural_disturbances
Brazil,BRA,2006,1861000,pasture
Brazil,BRA,2006,52000,selective_logging
Brazil,BRA,2006,79000,fire
Brazil,BRA,2006,0,mining
Brazil,BRA,2006,9000,other_infrastructure
Brazil,BRA,2006,17000,roads
Brazil,BRA,2006,26000,tree_plantations_including_palm
Brazil,BRA,2006,306000,small_scale_clearing
Brazil,BRA,2007,79000,commercial_crops
Brazil,BRA,2007,9000,flooding_due_to_dams
Brazil,BRA,2007,22000,natural_disturbances
Brazil,BRA,2007,1577000,pasture
Brazil,BRA,2007,96000,selective_logging
Brazil,BRA,2007,446000,fire
Brazil,BRA,2007,9000,mining
Brazil,BRA,2007,13000,other_infrastructure
Brazil,BRA,2007,13000,roads
Brazil,BRA,2007,39000,tree_plantations_including_palm
Brazil,BRA,2007,310000,small_scale_clearing
Brazil,BRA,2008,52000,commercial_crops
Brazil,BRA,2008,0,flooding_due_to_dams
Brazil,BRA,2008,17000,natural_disturbances
Brazil,BRA,2008,1345000,pasture
Brazil,BRA,2008,61000,selective_logging
Brazil,BRA,2008,70000,fire
Brazil,BRA,2008,9000,mining
Brazil,BRA,2008,17000,other_infrastructure
Brazil,BRA,2008,48000,roads
Brazil,BRA,2008,17000,tree_plantations_including_palm
Brazil,BRA,2008,397000,small_scale_clearing
Brazil,BRA,2009,57000,commercial_crops
Brazil,BRA,2009,9000,flooding_due_to_dams
Brazil,BRA,2009,31000,natural_disturbances
Brazil,BRA,2009,847000,pasture
Brazil,BRA,2009,87000,selective_logging
Brazil,BRA,2009,44000,fire
Brazil,BRA,2009,0,mining
Brazil,BRA,2009,9000,other_infrastructure
Brazil,BRA,2009,9000,roads
Brazil,BRA,2009,35000,tree_plantations_including_palm
Brazil,BRA,2009,301000,small_scale_clearing
Brazil,BRA,2010,100000,commercial_crops
Brazil,BRA,2010,0,flooding_due_to_dams
Brazil,BRA,2010,44000,natural_disturbances
Brazil,BRA,2010,616000,pasture
Brazil,BRA,2010,114000,selective_logging
Brazil,BRA,2010,537000,fire
Brazil,BRA,2010,4000,mining
Brazil,BRA,2010,9000,other_infrastructure
Brazil,BRA,2010,22000,roads
Brazil,BRA,2010,9000,tree_plantations_including_palm
Brazil,BRA,2010,271000,small_scale_clearing
Brazil,BRA,2011,52000,commercial_crops
Brazil,BRA,2011,17000,flooding_due_to_dams
Brazil,BRA,2011,87000,natural_disturbances
Brazil,BRA,2011,738000,pasture
Brazil,BRA,2011,44000,selective_logging
Brazil,BRA,2011,122000,fire
Brazil,BRA,2011,0,mining
Brazil,BRA,2011,0,other_infrastructure
Brazil,BRA,2011,9000,roads
Brazil,BRA,2011,26000,tree_plantations_including_palm
Brazil,BRA,2011,271000,small_scale_clearing
Brazil,BRA,2012,118000,commercial_crops
Brazil,BRA,2012,17000,flooding_due_to_dams
Brazil,BRA,2012,52000,natural_disturbances
Brazil,BRA,2012,546000,pasture
Brazil,BRA,2012,166000,selective_logging
Brazil,BRA,2012,70000,fire
Brazil,BRA,2012,0,mining
Brazil,BRA,2012,13000,other_infrastructure
Brazil,BRA,2012,31000,roads
Brazil,BRA,2012,26000,tree_plantations_including_palm
Brazil,BRA,2012,232000,small_scale_clearing
Brazil,BRA,2013,87000,commercial_crops
Brazil,BRA,2013,0,flooding_due_to_dams
Brazil,BRA,2013,13000,natural_disturbances
Brazil,BRA,2013,695000,pasture
Brazil,BRA,2013,131000,selective_logging
Brazil,BRA,2013,26000,fire
Brazil,BRA,2013,35000,mining
Brazil,BRA,2013,4000,other_infrastructure
Brazil,BRA,2013,17000,roads
Brazil,BRA,2013,35000,tree_plantations_including_palm
Brazil,BRA,2013,284000,small_scale_clearing
