year,forest_area
1990,438.2489679
1991,438.1347931
1992,459.2127483
1993,460.3959456
1994,460.3239218
1995,460.2516291
1996,460.1790662
1997,460.1062306
1998,460.0331221
1999,459.9597379
2000,459.9042109
2001,459.7729469
2002,459.6413562
2003,459.5094373
2004,459.3771881
2005,459.2446073
2006,459.1930705
2007,459.0610279
2008,458.9286526
2009,458.7959449
2010,458.6629029
2011,458.4370314
2012,459.0416529
2013,458.8114874
2014,458.5808154
2015,458.3496364
2016,458.1330916
2017,457.9160161
2018,457.6984086
2019,457.4802676
2020,457.2615897
